epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,779.692,1.01627,1.31952,1.16507,0.93727,0.68645,0.71211,0.55145,0.81487,0.68634,1.09144,0.00041445,0.00041445,0.00041445
2,1642.65,0.88529,0.63899,1.11496,0.9585,0.84214,0.87121,0.67803,0.80643,0.54121,1.14895,0.000814661,0.000814661,0.000814661
3,2184.5,0.86499,0.57978,1.10693,0.98294,0.98328,0.9934,0.78286,0.76436,0.43456,1.12313,0.00119837,0.00119837,0.00119837
4,2885.97,0.83596,0.52204,1.08808,0.97554,0.97216,0.98667,0.77874,0.74898,0.45076,1.10686,0.00117575,0.00117575,0.00117575
5,3534.37,0.8407,0.50148,1.09236,0.98393,0.98556,0.99429,0.7801,0.79532,0.42056,1.11279,0.001151,0.001151,0.001151
6,6609.58,0.8092,0.46914,1.07304,0.99345,0.98754,0.99459,0.80588,0.73373,0.37343,1.08364,0.00112625,0.00112625,0.00112625
7,7220.61,0.78185,0.44695,1.05281,0.99599,0.99199,0.99481,0.80847,0.71377,0.34746,1.07055,0.0011015,0.0011015,0.0011015
8,7867.34,0.78543,0.43442,1.05577,0.9932,0.99366,0.99483,0.81844,0.70353,0.34991,1.06754,0.00107675,0.00107675,0.00107675
9,8676.33,0.78364,0.43236,1.05297,0.9964,0.9749,0.98716,0.81135,0.70828,0.32843,1.05778,0.001052,0.001052,0.001052
10,9380.22,0.78111,0.41153,1.048,0.99764,0.98067,0.98846,0.82394,0.68302,0.32438,1.04423,0.00102725,0.00102725,0.00102725
11,10144.5,0.76623,0.40437,1.03928,0.99674,0.99547,0.99492,0.83019,0.69032,0.33399,1.03736,0.0010025,0.0010025,0.0010025
12,10966.8,0.77709,0.40109,1.0431,0.99837,0.9968,0.99499,0.83291,0.69772,0.32608,1.05101,0.00097775,0.00097775,0.00097775
13,11962.9,0.75747,0.39732,1.04277,0.99687,0.99676,0.99495,0.83026,0.6872,0.33044,1.03677,0.000953,0.000953,0.000953
14,12944,0.74634,0.38336,1.03592,0.99743,0.99872,0.99496,0.8332,0.69455,0.32191,1.04754,0.00092825,0.00092825,0.00092825
15,14815.9,0.73755,0.38012,1.02933,0.9982,0.99912,0.99499,0.8333,0.67708,0.30544,1.02849,0.0009035,0.0009035,0.0009035
16,15720.7,0.7432,0.37663,1.02956,0.9981,0.99916,0.99495,0.83635,0.68441,0.31218,1.02497,0.00087875,0.00087875,0.00087875
17,16803.1,0.72024,0.3599,1.02201,0.99866,0.9995,0.995,0.84771,0.65481,0.29923,1.01887,0.000854,0.000854,0.000854
18,17887.8,0.71802,0.36565,1.01158,0.99917,0.99783,0.995,0.8416,0.66275,0.30214,1.02098,0.00082925,0.00082925,0.00082925
19,22612.8,0.71843,0.35862,1.01435,0.99923,0.99563,0.995,0.84475,0.66093,0.29116,1.00688,0.0008045,0.0008045,0.0008045
20,24228.7,0.71501,0.35326,1.01135,0.99862,0.99902,0.995,0.85514,0.6439,0.29642,1.01369,0.00077975,0.00077975,0.00077975
21,25558.3,0.7146,0.35399,1.02038,0.99924,0.9996,0.99497,0.85096,0.6435,0.2898,1.01351,0.000755,0.000755,0.000755
22,26840.3,0.69212,0.34187,1.00833,0.9988,0.99967,0.995,0.84807,0.64065,0.28689,0.99702,0.00073025,0.00073025,0.00073025
23,28480.3,0.69968,0.3457,0.99663,0.99924,0.99887,0.995,0.85405,0.6389,0.27799,1.0043,0.0007055,0.0007055,0.0007055
24,30221.3,0.69592,0.3378,1.00621,0.99913,0.9995,0.995,0.86261,0.62525,0.27346,0.99435,0.00068075,0.00068075,0.00068075
25,35703.8,0.69691,0.33459,0.99651,0.99972,0.99948,0.995,0.86151,0.62194,0.27417,0.98981,0.000656,0.000656,0.000656
26,36666.7,0.68317,0.33095,0.99244,0.9985,0.99886,0.995,0.86318,0.61562,0.26683,0.98529,0.00063125,0.00063125,0.00063125
27,38331.1,0.68903,0.32585,0.99687,0.99964,0.99973,0.995,0.8615,0.63078,0.26841,0.99034,0.0006065,0.0006065,0.0006065
28,40180.9,0.68582,0.32666,0.99658,0.99942,0.99992,0.995,0.86932,0.61807,0.26247,0.98744,0.00058175,0.00058175,0.00058175
29,44312.1,0.67678,0.32543,0.99606,0.99927,0.99978,0.995,0.86999,0.60886,0.26403,0.97436,0.000557,0.000557,0.000557
30,49709,0.67613,0.31931,0.98864,0.99946,0.99946,0.995,0.86729,0.6194,0.26274,0.99172,0.00053225,0.00053225,0.00053225
31,50346.4,0.67005,0.312,0.99218,0.99968,0.99993,0.995,0.86617,0.60538,0.26209,0.98388,0.0005075,0.0005075,0.0005075
32,50993,0.67051,0.31457,0.99602,0.99876,0.98471,0.98982,0.86058,0.60915,0.26002,0.97766,0.00048275,0.00048275,0.00048275
