epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.329,1.01627,1.31952,1.16507,0.91264,0.5108,0.54698,0.42607,0.80325,0.70119,1.09524,0.00041445,0.00041445,0.00041445
2,625.234,0.88799,0.63074,1.10338,0.94031,0.47057,0.51442,0.41529,0.8001,0.61174,1.10583,0.000814661,0.000814661,0.000814661
3,1012.9,0.85594,0.55821,1.09686,0.92173,0.67596,0.72852,0.58285,0.81308,0.53414,1.12546,0.00119837,0.00119837,0.00119837
4,1397.17,0.84333,0.52162,1.09027,0.98777,0.8778,0.9059,0.7291,0.73692,0.41755,1.10865,0.00117575,0.00117575,0.00117575
5,1823.75,0.82538,0.48844,1.08467,0.98461,0.99152,0.99485,0.81676,0.69795,0.36436,1.08686,0.001151,0.001151,0.001151
6,4588.44,0.80953,0.46584,1.08063,0.98354,0.97671,0.9858,0.81381,0.70898,0.36549,1.0864,0.00112625,0.00112625,0.00112625
7,6003.53,0.78969,0.4423,1.06685,0.99082,0.98811,0.99484,0.81195,0.72505,0.37696,1.09134,0.0011015,0.0011015,0.0011015
8,8676.73,0.79143,0.43385,1.06729,0.9978,0.99476,0.99497,0.82875,0.6866,0.3435,1.07086,0.00107675,0.00107675,0.00107675
9,13424.6,0.78664,0.42572,1.06922,0.9881,0.98464,0.99468,0.82258,0.69381,0.33079,1.07854,0.001052,0.001052,0.001052
10,15968.4,0.7682,0.40919,1.0652,0.99461,0.99813,0.995,0.83272,0.6686,0.32638,1.06131,0.00102725,0.00102725,0.00102725
11,18136.7,0.76652,0.39929,1.06252,0.99481,0.99465,0.99359,0.83778,0.68382,0.32855,1.07974,0.0010025,0.0010025,0.0010025
12,21868.5,0.7756,0.40398,1.06402,0.99576,0.99903,0.99499,0.84532,0.67818,0.31198,1.06526,0.00097775,0.00097775,0.00097775
13,24338.3,0.7612,0.40086,1.06469,0.99427,0.99568,0.99481,0.83056,0.70534,0.32573,1.07839,0.000953,0.000953,0.000953
14,27947.1,0.75803,0.39443,1.05886,0.99354,0.99937,0.995,0.83095,0.69434,0.31424,1.07471,0.00092825,0.00092825,0.00092825
15,29372.1,0.72197,0.36722,1.04137,0.99717,0.99485,0.99499,0.84731,0.65372,0.29452,1.04539,0.0009035,0.0009035,0.0009035
16,31100.2,0.72746,0.37394,1.04841,0.99629,0.99783,0.99499,0.84055,0.68054,0.31554,1.06958,0.00087875,0.00087875,0.00087875
17,31623.6,0.74111,0.38054,1.04718,0.99831,0.91716,0.94342,0.80765,0.64195,0.30214,1.04997,0.000854,0.000854,0.000854
18,32290.2,0.7258,0.37033,1.03707,0.99519,0.99625,0.995,0.85391,0.65536,0.2946,1.05058,0.00082925,0.00082925,0.00082925
19,33032,0.72073,0.36175,1.04004,0.9984,0.99772,0.995,0.84869,0.65558,0.29102,1.04744,0.0008045,0.0008045,0.0008045
20,33825.3,0.70861,0.35293,1.03117,0.9972,0.99931,0.99499,0.85809,0.63617,0.28406,1.04033,0.00077975,0.00077975,0.00077975
21,34629.2,0.72275,0.35148,1.03768,0.99514,0.99978,0.995,0.86332,0.62866,0.28217,1.03993,0.000755,0.000755,0.000755
22,35445.6,0.70882,0.34739,1.04173,0.99901,1,0.995,0.8588,0.63264,0.27382,1.04365,0.00073025,0.00073025,0.00073025
23,36167.8,0.70168,0.34711,1.02889,0.99828,0.99632,0.995,0.86339,0.61742,0.27484,1.0297,0.0007055,0.0007055,0.0007055
24,36696.5,0.70465,0.3461,1.03555,0.99522,0.99626,0.995,0.86523,0.63925,0.28188,1.04546,0.00068075,0.00068075,0.00068075
25,37276.6,0.69121,0.33109,1.02293,0.99718,0.99852,0.99497,0.86757,0.61988,0.26632,1.03415,0.000656,0.000656,0.000656
